company_id,cluster_id,cluster_name,distance_from_centroid,year,return_on_equity_pct,debt_to_equity,sales,free_cash_flow_cr,operating_profit_margin_pct,return_on_capital_employed_pct,net_profit_margin_pct,asset_turnover,interest_coverage,broad_sector,return_on_equity_pct_zscore,return_on_capital_employed_pct_zscore,net_profit_margin_pct_zscore,operating_profit_margin_pct_zscore,debt_to_equity_zscore,sales_zscore,free_cash_flow_cr_zscore,asset_turnover_zscore,interest_coverage_zscore,is_outlier
ADANIGREEN,0,High-Quality Compounders,1.7821168489011914,2024-03,12.81,6.6,9220,-13347.0,79.37,11.49,13.67,0.1,1.71,Energy,-0.4507583225329145,-0.8840267144300018,-0.18782836849738382,1.8384235365518764,3.146107062617865,-0.7822157212740345,-1.5845361037581838,-0.8975572664654862,-1.0815800669824778,True
BAJAJHLDNG,1,Emerging Growth,0.9439460890845464,2024-03,13.58,0.0,1702,1469.0,91.77,13.86,432.73,0.03,3764.5,Financials,-0.4265445890113124,-0.3304003101120043,4.493179235302924,1.088850657176135,-1.1674582406796001,-0.6753945985744019,0.5569321911918667,-0.557182060065863,3.5833267860363454,True
ICICIPRULI,1,Emerging Growth,1.064420187286722,2024-03,7.73,0.11,90307,105.0,102.03,754.89,0.94,0.3,31.02,Financials,-0.8863510100328045,3.3006500979729325,-0.43755035863404185,1.4067031719035668,-1.140815002821767,-0.15612606305848037,0.5168278024413404,0.33490997141425183,-0.3532358837688577,True
INDIGO,1,Emerging Growth,1.4398533826062356,2024-03,892.57,0.02,68904,9424.0,76.3,5643.45,11.85,56.39,22.61,Consumer Discretionary,3.6029633004686246,3.604211238273281,0.05210705906717912,2.1360514500958696,-0.640762318254903,-0.1303459333989499,0.4101004747952182,3.6036778648686036,-0.5763604663956622,True
LICI,3,Highly Leveraged,1.8025393928979072,2024-03,49.45,0.0,845966,853.0,3.87,57.53,4.84,0.16,371.94,Financials,2.3928154660384178,-0.11641710926849029,-0.3930151785317834,-1.6342717643191136,-1.1674582406796001,4.272404406773083,0.5388205317561451,-0.12765626713099287,0.00622846193273707,True
PNB,0,High-Quality Compounders,1.437701101696511,2024-03,61.32,3.68,109065,-29445.0,,,8.4,1.51,,Financials,3.3257902040768976,,-0.35236255259228594,,-0.27612082870845317,-0.04619502994288132,-0.35200261367159913,4.332803890269581,,True
TATAMOTORS,3,Highly Leveraged,1.4814935130335567,2024-03,37.46,1.26,437928,45133.0,13.6,33.93,7.26,1.19,6.53,Consumer Discretionary,-0.2202622788776663,-0.2821003939685364,-0.6312398012709671,-0.5022661889509082,0.5326167793089278,3.3161678835129393,3.3508028753585486,-0.2790997635321729,-0.8823319520226761,True
